Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Chris Young,- - -,233,241,1,10,17,0,4.10%,32.80%,0.054,0.244,0.153,0.196,0.208,0.184,,9,-0.1,-27.9,26.3,0.6,3196
Zack Wheeler,- - -,174,323,1,13,18,0,1.50%,39.60%,0.042,0.269,0.153,0.172,0.194,0.162,,-4,-0.1,-41,37.2,0.6,10310
Jeff Suppan,- - -,168,306,0,15,15,0,5.60%,19.30%,0.016,0.211,0.16,0.218,0.176,0.187,,5,-0.6,-37.5,33.4,0.6,633
Johan Santana,- - -,176,257,1,10,7,0,3.50%,29.60%,0.075,0.221,0.15,0.183,0.226,0.183,,5,-0.1,-29.9,27,0.5,755
Ty Blach,- - -,99,92,1,6,7,0,6.50%,40.20%,0.064,0.293,0.167,0.224,0.231,0.204,,22,0,-8.9,11,0.5,14361
Jake Westbrook,- - -,181,196,1,10,14,2,6.10%,37.80%,0.061,0.239,0.135,0.194,0.196,0.181,,8,0.3,-20.8,19.5,0.5,412
Julio Urias,LAD,106,122,0,5,13,0,0.80%,32.80%,0.02,0.317,0.19,0.206,0.21,0.184,,13,-0.1,-13.5,14.4,0.5,14765
Homer Bailey,- - -,249,440,0,22,18,0,2.50%,33.00%,0.021,0.268,0.164,0.19,0.185,0.17,,-5,-0.2,-55.1,46.2,0.5,8362
Francisco Liriano,- - -,415,242,2,7,15,0,3.70%,35.10%,0.041,0.244,0.156,0.189,0.197,0.175,,2,-0.1,-27.7,25.1,0.5,3201
Kris Medlen,- - -,177,154,1,9,8,1,7.10%,39.00%,0.054,0.246,0.14,0.211,0.194,0.191,,14,0.1,-15.8,15.6,0.5,9417
Javier Vazquez,- - -,202,174,0,12,5,0,4.00%,15.50%,0.03,0.215,0.172,0.213,0.201,0.191,,13,-0.1,-18.5,17.8,0.5,801
Ryan Vogelsong,- - -,190,302,1,22,9,0,4.60%,36.80%,0.031,0.224,0.129,0.187,0.161,0.165,,0,-0.2,-35.3,30.7,0.5,1011
Jaime Garcia,- - -,222,350,3,26,23,0,3.40%,29.40%,0.045,0.206,0.146,0.18,0.191,0.168,,0,-0.2,-42.3,36.1,0.5,8137
Chan Ho Park,- - -,180,80,1,1,6,0,3.80%,28.80%,0.045,0.31,0.212,0.246,0.258,0.228,,32,0,-7,9.1,0.5,1267
Andy Sonnanstine,TBD,135,29,0,6,2,0,10.30%,48.30%,0.042,0.7,0.292,0.37,0.333,0.324,,105,0,0.2,3.1,0.4,7667
Chad Billingsley,- - -,226,412,3,14,21,0,4.60%,41.30%,0.048,0.251,0.138,0.184,0.186,0.171,,-2,-0.2,-51.9,42.8,0.4,5842
Peter Lambert,COL,24,36,0,3,2,0,8.30%,30.60%,0,0.474,0.3,0.364,0.3,0.3,,72,0,-1.4,4.4,0.4,17969
Brian Bannister,- - -,117,33,0,3,4,0,0.00%,27.30%,0.138,0.4,0.276,0.3,0.414,0.31,,83,0,-0.7,3.6,0.4,5718
Taylor Jungmann,MIL,30,52,0,3,0,0,1.90%,30.80%,0.044,0.379,0.244,0.261,0.289,0.242,,48,0,-3.3,5.4,0.4,13119
Brent Suter,MIL,144,61,1,5,4,0,6.60%,31.10%,0.077,0.219,0.154,0.241,0.231,0.22,,33,0,-5.4,7.3,0.4,13942
Zack Britton,- - -,439,8,1,3,2,0,0.00%,12.50%,0.5,0.667,0.625,0.625,1.125,0.753,,391,0,2.7,0.7,0.4,3240
Caleb Smith,- - -,105,100,0,4,4,1,1.00%,42.00%,0.034,0.333,0.172,0.2,0.207,0.181,,9,0.2,-11.4,12.2,0.4,14875
Jeremy Hellickson,- - -,234,209,0,10,14,0,5.30%,32.10%,0.029,0.229,0.143,0.201,0.171,0.173,,-2,-0.1,-26.3,23.4,0.4,4371
Ricky Nolasco,- - -,330,470,1,19,26,0,5.30%,38.10%,0.039,0.248,0.134,0.189,0.173,0.169,,-5,-0.2,-60,48.9,0.4,3830
Raul Valdes,- - -,103,18,0,1,1,0,0.00%,16.70%,0.154,0.5,0.385,0.385,0.538,0.402,,154,0,1.1,1.8,0.4,1953
