"Name","Team","Level","Age","PA","BB.","K.","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","mYear","playerid","zAge"
"Jason Conti","STL","AAA",31,193,0.08290155,0.19689119,0.42105263,0.26315789,0.33157895,0.3625731,0.69415205,0.09941521,3.120144936,0.32061069,-0.027640369,19.84694039,-3.076214899,0.312241559,87.74044892,2006,1199,1.27141119723813
"Felix Escalona","NYY","AAA",27,395,0.05063291,0.16708861,0.3030303,0.24089636,0.30102041,0.3977591,0.69877951,0.15686274,2.553463204,0.26501767,0.172976768,43.53885399,-1.14606736,0.316800728,97.22035114,2006,1204,0.0342163013408052
"Paul Hoover","FLA","AAA",30,343,0.09620991,0.20699708,0.46478873,0.2781457,0.35087719,0.41390728,0.76478447,0.13576158,3.392271019,0.34061135,-0.248056416,44.5359806,1.247594972,0.343523773,102.8820547,2006,1212,0.9621124732638
"Russ Johnson","NYY","AAA",33,450,0.14444444,0.11777778,1.22641509,0.27466667,0.3803132,0.44533333,0.82564653,0.17066666,2.92376666,0.28434505,-1.014918015,67.15043195,16.94484696,0.371850489,133.7509203,2006,1216,1.8900086451868
"Chad Allen","KCR","AAA",31,450,0.07111111,0.13333333,0.53333333,0.31414868,0.36444444,0.49640288,0.86084732,0.1822542,2.655729171,0.34110787,-1.521715343,70.8559523,14.06360963,0.376676204,124.7632145,2006,122,1.27141119723813
"Damian Rolls","NYY","AAA",28,73,0.06849315,0.21917808,0.3125,0.13846154,0.22222222,0.23076923,0.45299145,0.09230769,2.908231004,0.16666667,-0.413789572,2.080781322,-6.063680243,0.216752293,25.54842092,2006,1222,0.343515025315137
"Jared Sandberg","CLE","AA",28,294,0.08163265,0.26870748,0.30379747,0.20754717,0.28231293,0.37358491,0.65589784,0.16603774,4.017160808,0.26666667,0.480079464,26.89094327,-8.562505054,0.296856733,77.76783309,2006,1224,1.64268704895066
"Jason Smith","COL","AAA",28,159,0.09433962,0.25786164,0.36585366,0.29078014,0.35443038,0.5106383,0.86506868,0.21985816,6.918774999,0.37755102,0.173105845,24.97329985,4.906672107,0.37620453,124.4519018,2006,1227,0.343515025315137
"Jason Tyner","MIN","AAA",29,352,0.07102273,0.11079545,0.64102564,0.32911392,0.37931034,0.40506329,0.78437363,0.07594937,6.430563381,0.37010676,0.618351599,47.50594173,8.234017474,0.353410055,120.9666769,2006,1232,0.652813749289469
"Jason Hart","TEX","AAA",28,424,0.06603774,0.20754717,0.31818182,0.24806202,0.3056872,0.45219638,0.75788358,0.20413436,2.503872595,0.27561837,-0.634150536,50.85015367,-1.402051064,0.331628108,97.10997943,2006,1253,0.343515025315137
